nome_cs,competencia,ano_cmpt,mes_cmpt,cod_smsa,regional,n_esf,n_emulti,n_esb,n_medicos,n_mfc,pct_mfc,n_acs,ch_medica_total,cobertura_aps_pct,populacao_referencia,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,pct_area_favela,data_competencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor,fonte_censo,data_extracao_censo,fonte_favelas,data_extracao_favelas,data_extracao_cnes,ivs_score,ivs_predominante,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado
CENTRO DE SAUDE PILAR - OLHOS DAGUA,2301,2023,1,1390,BARREIRO,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,8350,NA,NA,1.72,2.04,16,0.98,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.149,Elevado,0,13.6,57.89,28.51
CENTRO DE SAUDE HAVAI,2301,2023,1,7220,OESTE,6,0,0,0,0,NA,0,0,89.99,2315560,30102,NA,NA,0.24,1.43,68,1.07,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.554,Baixo,62.43,22.01,13.28,2.29
CENTRO DE SAUDE POMPEIA,2301,2023,1,3280,LESTE,6,0,0,0,0,NA,0,0,89.99,2315560,16324,NA,NA,0.08,1.77,37,3.16,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.731,Médio,41.48,48.01,6.49,4.02
CENTRO DE SAUDE SANTA RITA DE CASSIA,2301,2023,1,2250,CENTRO-SUL,5,0,0,0,0,NA,0,0,89.99,2315560,38753,NA,NA,0.38,1.44,89,9.07,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.465,Baixo,81.59,0,8.75,9.66
CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS,2301,2023,1,1210,BARREIRO,6,0,0,0,0,NA,0,0,89.99,2315560,14609,NA,NA,1.23,1.6,31,0.16,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.957,Médio,12.88,78.51,8.61,0
CENTRO DE SAUDE JARDIM FELICIDADE,2301,2023,1,6300,NORTE,6,0,0,0,0,NA,0,0,89.99,2315560,9896,NA,NA,0.18,2.5,18,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.488,Muito Elevado,0,11.8,27.64,60.56
CENTRO DE SAUDE JARDIM EUROPA,2301,2023,1,9210,VENDA NOVA,8,0,0,0,0,NA,0,0,89.99,2315560,13444,NA,NA,0.31,1.86,28,1.1,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.331,Médio,0,69.2,28.55,2.26
CENTRO DE SAUDE SERRA VERDE,2301,2023,1,9270,VENDA NOVA,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,13945,NA,NA,0.87,1.81,30,1.52,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.31,Médio,0,71.45,26.13,2.42
CENTRO DE SAUDE RIBEIRO DE ABREU,2301,2023,1,4370,NORDESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,8760,NA,NA,1.13,1.99,22,8.75,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.123,Elevado,0,0,87.73,12.27
CENTRO DE SAUDE VILA CEMIG,2301,2023,1,1340,BARREIRO,5,0,0,0,0,NA,0,0,89.99,2315560,7713,NA,NA,0.56,2.18,15,64.96,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.355,Elevado,0,0,64.47,35.53
