co_unidade,nome_cs
0055956,CENTRO DE SAUDE OSWALDO CRUZ
0057495,CENTRO DE SAUDE CARLOS CHAGAS
0062316,CENTRO DE SAUDE FLORAMAR
0062367,CENTRO DE SAUDE NORALDINO DE LIMA
0064394,CENTRO DE SAUDE CARLOS CHAGAS
0067288,CENTRO DE SAUDE SAO JORGE
0068810,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0070661,CENTRO DE SAUDE CARLOS CHAGAS
0076074,CENTRO DE SAUDE CARLOS CHAGAS
0076201,CENTRO DE SAUDE CARLOS CHAGAS
0076341,CENTRO DE SAUDE CARLOS PRATES
0082384,CENTRO DE SAUDE DOM ORIONE
0082406,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0082422,CENTRO DE SAUDE JARDIM EUROPA
0082562,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0082597,CENTRO DE SAUDE VILA LEONINA
0082619,CENTRO DE SAUDE OSWALDO CRUZ
0082724,CENTRO DE SAUDE SAO PAULO
0082899,CENTRO DE SAUDE MENINO JESUS
0082988,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0084670,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0088730,CENTRO DE SAUDE DOM ORIONE
0088773,CENTRO DE SAUDE JARDIM EUROPA
0090271,CENTRO DE SAUDE VILA LEONINA
0092878,CENTRO DE SAUDE MENINO JESUS
0100617,CENTRO DE SAUDE MENINO JESUS
0101443,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0104574,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0108103,CENTRO DE SAUDE CIDADE OZANAN
0113654,CENTRO DE SAUDE CARLOS CHAGAS
0116459,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0117420,CENTRO DE SAUDE SAO JORGE
0136018,CENTRO DE SAUDE GOIANIA
0147087,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0148628,CENTRO DE SAUDE OSWALDO CRUZ
0156124,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0161454,CENTRO DE SAUDE SANTA MONICA
0176656,CENTRO DE SAUDE CARLOS PRATES
0176710,CENTRO DE SAUDE AMILCAR VIANA MARTINS
0176982,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0185736,CENTRO DE SAUDE CARLOS CHAGAS
