nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE BONSUCESSO,15-19,915
CENTRO DE SAUDE BONSUCESSO,20-24,1126
CENTRO DE SAUDE BONSUCESSO,25-29,981
CENTRO DE SAUDE BONSUCESSO,30-39,2047
CENTRO DE SAUDE BONSUCESSO,40-49,1944
CENTRO DE SAUDE BONSUCESSO,50-59,1459
CENTRO DE SAUDE BONSUCESSO,60-69,934
CENTRO DE SAUDE BONSUCESSO,70+,565
CENTRO DE SAUDE CABANA,0-4,809
CENTRO DE SAUDE CABANA,5-9,889
CENTRO DE SAUDE CABANA,10-14,987
CENTRO DE SAUDE CABANA,15-19,1032
CENTRO DE SAUDE CABANA,20-24,1306
CENTRO DE SAUDE CABANA,25-29,1228
CENTRO DE SAUDE CABANA,30-39,2476
CENTRO DE SAUDE CABANA,40-49,2491
CENTRO DE SAUDE CABANA,50-59,2184
CENTRO DE SAUDE CABANA,60-69,1714
CENTRO DE SAUDE CABANA,70+,1464
CENTRO DE SAUDE CACHOEIRINHA,0-4,492
CENTRO DE SAUDE CACHOEIRINHA,5-9,600
CENTRO DE SAUDE CACHOEIRINHA,10-14,541
CENTRO DE SAUDE CACHOEIRINHA,15-19,638
CENTRO DE SAUDE CACHOEIRINHA,20-24,830
CENTRO DE SAUDE CACHOEIRINHA,25-29,950
CENTRO DE SAUDE CACHOEIRINHA,30-39,1963
CENTRO DE SAUDE CACHOEIRINHA,40-49,1909
CENTRO DE SAUDE CACHOEIRINHA,50-59,1956
CENTRO DE SAUDE CACHOEIRINHA,60-69,1919
CENTRO DE SAUDE CACHOEIRINHA,70+,1975
CENTRO DE SAUDE CAFEZAL,0-4,745
CENTRO DE SAUDE CAFEZAL,5-9,792
CENTRO DE SAUDE CAFEZAL,10-14,694
CENTRO DE SAUDE CAFEZAL,15-19,797
CENTRO DE SAUDE CAFEZAL,20-24,939
CENTRO DE SAUDE CAFEZAL,25-29,938
CENTRO DE SAUDE CAFEZAL,30-39,1528
CENTRO DE SAUDE CAFEZAL,40-49,1332
CENTRO DE SAUDE CAFEZAL,50-59,897
CENTRO DE SAUDE CAFEZAL,60-69,487
CENTRO DE SAUDE CAFEZAL,70+,362
CENTRO DE SAUDE CALIFORNIA,0-4,790
CENTRO DE SAUDE CALIFORNIA,5-9,924
CENTRO DE SAUDE CALIFORNIA,10-14,835
CENTRO DE SAUDE CALIFORNIA,15-19,921
CENTRO DE SAUDE CALIFORNIA,20-24,1147
CENTRO DE SAUDE CALIFORNIA,25-29,1192
CENTRO DE SAUDE CALIFORNIA,30-39,2639
CENTRO DE SAUDE CALIFORNIA,40-49,2399
CENTRO DE SAUDE CALIFORNIA,50-59,2023
CENTRO DE SAUDE CALIFORNIA,60-69,1641
CENTRO DE SAUDE CALIFORNIA,70+,1316
CENTRO DE SAUDE CAMARGOS,0-4,662
CENTRO DE SAUDE CAMARGOS,5-9,797
CENTRO DE SAUDE CAMARGOS,10-14,678
CENTRO DE SAUDE CAMARGOS,15-19,670
CENTRO DE SAUDE CAMARGOS,20-24,861
CENTRO DE SAUDE CAMARGOS,25-29,1059
CENTRO DE SAUDE CAMARGOS,30-39,2530
CENTRO DE SAUDE CAMARGOS,40-49,2352
CENTRO DE SAUDE CAMARGOS,50-59,1718
CENTRO DE SAUDE CAMARGOS,60-69,1125
CENTRO DE SAUDE CAMARGOS,70+,786
CENTRO DE SAUDE CAMPO ALEGRE,0-4,726
CENTRO DE SAUDE CAMPO ALEGRE,5-9,821
CENTRO DE SAUDE CAMPO ALEGRE,10-14,865
CENTRO DE SAUDE CAMPO ALEGRE,15-19,1005
CENTRO DE SAUDE CAMPO ALEGRE,20-24,1316
CENTRO DE SAUDE CAMPO ALEGRE,25-29,1276
CENTRO DE SAUDE CAMPO ALEGRE,30-39,2972
CENTRO DE SAUDE CAMPO ALEGRE,40-49,3025
CENTRO DE SAUDE CAMPO ALEGRE,50-59,2511
CENTRO DE SAUDE CAMPO ALEGRE,60-69,1765
CENTRO DE SAUDE CAMPO ALEGRE,70+,1765
CENTRO DE SAUDE CAPITAO EDUARDO,0-4,284
CENTRO DE SAUDE CAPITAO EDUARDO,5-9,355
CENTRO DE SAUDE CAPITAO EDUARDO,10-14,290
CENTRO DE SAUDE CAPITAO EDUARDO,15-19,315
CENTRO DE SAUDE CAPITAO EDUARDO,20-24,409
CENTRO DE SAUDE CAPITAO EDUARDO,25-29,389
CENTRO DE SAUDE CAPITAO EDUARDO,30-39,700
CENTRO DE SAUDE CAPITAO EDUARDO,40-49,682
CENTRO DE SAUDE CAPITAO EDUARDO,50-59,525
CENTRO DE SAUDE CAPITAO EDUARDO,60-69,376
CENTRO DE SAUDE CAPITAO EDUARDO,70+,224
CENTRO DE SAUDE CARLOS CHAGAS,0-4,450
CENTRO DE SAUDE CARLOS CHAGAS,5-9,444
CENTRO DE SAUDE CARLOS CHAGAS,10-14,477
CENTRO DE SAUDE CARLOS CHAGAS,15-19,994
CENTRO DE SAUDE CARLOS CHAGAS,20-24,2663
CENTRO DE SAUDE CARLOS CHAGAS,25-29,2735
CENTRO DE SAUDE CARLOS CHAGAS,30-39,3860
CENTRO DE SAUDE CARLOS CHAGAS,40-49,2544
CENTRO DE SAUDE CARLOS CHAGAS,50-59,2375
CENTRO DE SAUDE CARLOS CHAGAS,60-69,2640
CENTRO DE SAUDE CARLOS CHAGAS,70+,3806
CENTRO DE SAUDE CARLOS PRATES,0-4,896
CENTRO DE SAUDE CARLOS PRATES,5-9,991
CENTRO DE SAUDE CARLOS PRATES,10-14,1060
CENTRO DE SAUDE CARLOS PRATES,15-19,1239
CENTRO DE SAUDE CARLOS PRATES,20-24,1703
CENTRO DE SAUDE CARLOS PRATES,25-29,2062
CENTRO DE SAUDE CARLOS PRATES,30-39,4248
CENTRO DE SAUDE CARLOS PRATES,40-49,3984
CENTRO DE SAUDE CARLOS PRATES,50-59,3880
CENTRO DE SAUDE CARLOS PRATES,60-69,3980
CENTRO DE SAUDE CARLOS PRATES,70+,4204
CENTRO DE SAUDE CEU AZUL,0-4,929
CENTRO DE SAUDE CEU AZUL,5-9,1051
CENTRO DE SAUDE CEU AZUL,10-14,1050
CENTRO DE SAUDE CEU AZUL,15-19,1171
CENTRO DE SAUDE CEU AZUL,20-24,1421
CENTRO DE SAUDE CEU AZUL,25-29,1300
CENTRO DE SAUDE CEU AZUL,30-39,2607
CENTRO DE SAUDE CEU AZUL,40-49,3073
CENTRO DE SAUDE CEU AZUL,50-59,2284
CENTRO DE SAUDE CEU AZUL,60-69,1696
CENTRO DE SAUDE CEU AZUL,70+,1599
CENTRO DE SAUDE CICERO IDELFONSO,0-4,600
CENTRO DE SAUDE CICERO IDELFONSO,5-9,687
CENTRO DE SAUDE CICERO IDELFONSO,10-14,647
CENTRO DE SAUDE CICERO IDELFONSO,15-19,753
CENTRO DE SAUDE CICERO IDELFONSO,20-24,871
CENTRO DE SAUDE CICERO IDELFONSO,25-29,852
CENTRO DE SAUDE CICERO IDELFONSO,30-39,1539
CENTRO DE SAUDE CICERO IDELFONSO,40-49,1512
CENTRO DE SAUDE CICERO IDELFONSO,50-59,1335
CENTRO DE SAUDE CICERO IDELFONSO,60-69,916
CENTRO DE SAUDE CICERO IDELFONSO,70+,795
CENTRO DE SAUDE CIDADE OZANAN,0-4,921
CENTRO DE SAUDE CIDADE OZANAN,5-9,1036
CENTRO DE SAUDE CIDADE OZANAN,10-14,1028
CENTRO DE SAUDE CIDADE OZANAN,15-19,1190
CENTRO DE SAUDE CIDADE OZANAN,20-24,1477
CENTRO DE SAUDE CIDADE OZANAN,25-29,1706
CENTRO DE SAUDE CIDADE OZANAN,30-39,3880
