nome_cs,pct_area_favela,fonte_favelas,data_extracao_favelas
CENTRO DE SAUDE SANTA TEREZINHA,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CONJUNTO BETANIA,1.71,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE DOM BOSCO,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CICERO IDELFONSO,41.65,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE FELICIDADE II,0.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE PRIMEIRO DE MAIO,37.91,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOVA YORK,0,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE MANTIQUEIRA,0.11,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO,3.67,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CARLOS PRATES,0.88,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA MARIA,6.64,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ETELVINA CARNEIRO,1.52,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SAO CRISTOVAO,14.14,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE VILA LEONINA,6.51,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE ITAIPU - JATOBA,9.39,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE SANTA MONICA,3.04,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE JOAO PINHEIRO,1.61,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BARREIRO DE CIMA,0.02,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CIDADE OZANAN,0.27,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,1.69,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE NOVO HORIZONTE,98.48,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE CALIFORNIA,4.44,IBGE_Censo2022_code_favela,2026-05-15
CENTRO DE SAUDE LAJEDO,26.5,IBGE_Censo2022_code_favela,2026-05-15
