nome_cs,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,fonte_censo,data_extracao_censo
CENTRO DE SAUDE VENTOSA,22108,NA,NA,0.19,1.94,58,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VERA CRUZ,13736,NA,NA,0.18,2.13,34,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA CEMIG,7713,NA,NA,0.56,2.18,15,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA IMPERIAL,7604,NA,NA,1.05,2.23,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA LEONINA,23875,NA,NA,0.61,1.92,53,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA MARIA,12289,NA,NA,0.32,2.03,27,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILA PINHO,16373,NA,NA,2.31,1.98,31,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO,27284,NA,NA,0.08,1.43,54,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE VISTA ALEGRE,11736,NA,NA,0.12,2.06,28,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE WALDOMIRO LOBO,5905,NA,NA,0.13,2.05,16,IBGE_Censo2022,2026-05-15
CENTRO DE SAUDE ZILAH SPOSITO,11392,NA,NA,21.89,2.36,30,IBGE_Censo2022,2026-05-15
