cep,lat,lon,motivo
31230760,NA,NA,Endereço não geocodificado
31260470,NA,NA,Endereço não geocodificado
31540479,NA,NA,Endereço não geocodificado
31842630,-19.8323096,-43.9162503,NA
31130680,-19.8860124,-43.9399338,NA
30110017,-19.9256994,-43.9197935,NA
30421662,-19.951857,-43.9739186,NA
30840742,-19.9000101,-43.9940291,NA
30451660,-19.9529609,-43.9657937,NA
30295080,-19.9181314,-43.8781521,NA
31210270,-19.908133,-43.9500161,NA
31250070,-19.8910935,-43.9647514,NA
30285110,-19.9093894,-43.8972664,NA
31080400,-19.8789716,-43.9096085,NA
31960100,-19.8641075,-43.9024604,NA
30285680,-19.9165847,-43.8936074,NA
31985634,-19.8531567,-43.9030415,NA
31870010,-19.8513448,-43.9019805,NA
30672630,NA,NA,CEP não encontrado no ViaCEP
31630130,-19.8026151,-43.9567855,NA
31150270,-19.8801661,-43.9415664,NA
30520510,-19.9382192,-44.0210874,NA
30750300,-19.8958153,-43.9746772,NA
31615210,-19.8069431,-43.9627287,NA
31320610,-19.8940576,-43.9837089,NA
31150530,-19.8789434,-43.9435918,NA
30525280,-19.9367,-44.0155975,NA
31310190,-19.868611,-43.9800955,NA
31578130,-19.8069378,-44.0023148,NA
31998688,NA,NA,Endereço não geocodificado
30666330,-20.0168671,-44.0356527,NA
31050270,-19.902063,-43.8996038,NA
31230640,-19.8953278,-43.9555377,NA
31160440,-19.8757884,-43.9293954,NA
31210190,-19.9094846,-43.9479827,NA
30865370,NA,NA,Endereço não geocodificado
31070020,-19.8886844,-43.8983141,NA
30160041,-19.9221732,-43.9394511,NA
31360300,-19.8728239,-44.0169761,NA
31550200,-19.8414871,-43.9890445,NA
31520380,-19.816197,-43.9748952,NA
31814710,-19.847222,-43.9171772,NA
31950600,-19.8601599,-43.8995011,NA
30860020,NA,NA,Endereço não geocodificado
31742572,-19.8315654,-43.9262219,NA
31525040,-19.82424,-43.9677013,NA
30672760,NA,NA,Endereço não geocodificado
31150560,-19.8813045,-43.9418488,NA
30850650,-19.9181277,-44.00518,NA
31741250,-19.8450391,-43.9454632,NA
31585000,-19.8268171,-44.007319,NA
30670240,NA,NA,Endereço não geocodificado
31680230,NA,NA,Endereço não geocodificado
30672090,-20.0196218,-44.0312691,NA
30865180,-19.9162879,-44.0195203,NA
31545050,-19.8367066,-44.0000778,NA
30490290,NA,NA,Endereço não geocodificado
30421228,-19.9333627,-43.9746709,NA
31910442,-19.8736074,-43.9197268,NA
31360120,-19.8714813,-44.0106303,NA
30532030,-19.9368659,-44.0011224,NA
31510270,-19.8122668,-43.9671053,NA
30525120,-19.9381162,-44.0142202,NA
31060540,-19.8942686,-43.8996574,NA
30550570,-19.9473476,-43.9797698,NA
31930750,-19.863183,-43.9133063,NA
31741427,-19.847515,-43.9362247,NA
30280430,-19.9096924,-43.9011591,NA
31744695,-19.8126865,-43.9402729,NA
31515280,-19.8243376,-43.9646791,NA
31360340,-19.8710626,-44.016332,NA
30390160,-20.0007629,-43.9724248,NA
31155370,NA,NA,Endereço não geocodificado
30512420,NA,NA,Endereço não geocodificado
30880310,NA,NA,Endereço não geocodificado
31842180,NA,NA,Endereço não geocodificado
31540530,-19.8320739,-43.9879632,NA
30240096,NA,NA,Endereço não geocodificado
31540460,-19.8287997,-43.9871568,NA
30570140,-19.9566113,-43.9822779,NA
30510780,-19.9463711,-43.9948816,NA
30672060,-20.0199605,-44.0346878,NA
31845420,-19.8431893,-43.9123015,NA
30518140,-19.9517202,-44.0096588,NA
31630280,-19.7973925,-43.9551621,NA
30640120,NA,NA,Endereço não geocodificado
30640640,NA,NA,Endereço não geocodificado
30690020,-19.9743449,-44.050008,NA
30666640,-20.0176824,-44.0267062,NA
30610000,-19.9580285,-44.0089687,NA
30666340,NA,NA,Endereço não geocodificado
30810130,-19.8974662,-43.9885953,NA
31870650,-19.8362526,-43.9006898,NA
30865080,-19.908061,-44.0206008,NA
30626100,-20.0004571,-44.0178668,NA
30120020,-19.9170352,-43.9417904,NA
31210330,NA,NA,Endereço não geocodificado
30692450,-19.9968235,-44.0518846,NA
30664100,NA,NA,Endereço não geocodificado
30512070,-19.9439815,-44.002849,NA
31210690,-19.9040029,-43.9463362,NA
31744770,-19.8160426,-43.9379917,NA
30622273,-19.9871158,-43.9909945,NA
31060460,-19.8931676,-43.9033168,NA
31630508,-19.7983061,-43.9596988,NA
31872020,-19.8322376,-43.8995444,NA
30295330,-19.9149868,-43.8812887,NA
30421382,-19.9462522,-43.9723653,NA
31930420,-19.8596138,-43.9054924,NA
31360110,-19.8725355,-44.0098436,NA
30270270,-19.9258702,-43.9075312,NA
31998380,-19.8308698,-43.8698984,NA
30666510,-20.0166621,-44.0292165,NA
31842560,NA,NA,Endereço não geocodificado
30451416,NA,NA,Endereço não geocodificado
31998668,NA,NA,Endereço não geocodificado
31360020,-19.8701344,-44.0068933,NA
31741419,-19.8470906,-43.9369586,NA
31520200,-19.8184679,-43.9709201,NA
30525290,-19.9348952,-44.0146842,NA
31950040,-19.8721529,-43.9015309,NA
30120082,-19.9160434,-43.9405468,NA
31742008,-19.831385,-43.938896,NA
30882770,-19.878848,-44.0099037,NA
30670575,-20.0105019,-44.0187032,NA
31814540,NA,NA,Endereço não geocodificado
31640200,-19.7939727,-43.9740726,NA
30510810,-19.9464137,-43.9940698,NA
31652020,-19.7890381,-43.9755359,NA
30628191,-20.0119344,-44.0120573,NA
30230681,NA,NA,Endereço não geocodificado
30570690,-19.9640752,-43.974077,NA
31550100,-19.8359762,-43.9915439,NA
30285150,-19.905222,-43.8933857,NA
31540524,-19.8319671,-43.9943886,NA
30390030,NA,NA,Endereço não geocodificado
30512280,-19.9491071,-43.9995112,NA
